text,label
"Get rich quick! Buy now! Limited time offer!",1
"Meeting at 3 PM tomorrow in the conference room",0
"URGENT: Your account needs verification. Click here!",1
"Project deadline extended to next Friday",0
"FREE VIAGRA NOW!!! Special discount!",1
"Team lunch on Friday at 12:30 PM",0
"CONGRATULATIONS! You've won $1,000,000!",1
"Weekly report attached. Please review.",0
"Make money fast! Work from home!",1
"Client meeting notes from yesterday's discussion",0
"FREE GIFT CARD! Claim now!",1
"Please submit your timesheet by end of day",0
"LOSE WEIGHT FAST! Miracle pill!",1
"New feature deployment scheduled for tomorrow",0
"INHERITANCE ALERT! Claim your money!",1
"Project status update: All milestones on track",0
"FREE IPHONE! You're the lucky winner!",1
"Team building event next week",0
"URGENT: Your package delivery failed",1
"Code review meeting at 2 PM today",0 